Training Initiated .... 
Thu Dec 9 21:48:47 IST 2021
Training Halted/Crashed at .... 
Thu Dec 9 21:48:48 IST 2021
Training Initiated .... 
Thu Dec 9 21:55:57 IST 2021
space_443
Training Halted/Crashed at .... 
Thu Dec 9 21:55:59 IST 2021
Training Initiated .... 
Thu Dec 9 21:59:02 IST 2021
space_443
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Training Halted/Crashed at .... 
Thu Dec 9 21:59:04 IST 2021
Training Initiated .... 
Thu Dec 9 22:05:20 IST 2021
space_443
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Training Halted/Crashed at .... 
Thu Dec 9 22:05:21 IST 2021
Training Initiated .... 
Thu Dec 9 22:11:06 IST 2021
space_443
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
512
Loaded: 0.245590 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.491684, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514997, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.094801, Class: 0.505925, Obj: 0.227103, No Obj: 0.449304, .5R: 0.005319, .75R: 0.000000,  count: 188
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.488048, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.515817, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.126108, Class: 0.510630, Obj: 0.244358, No Obj: 0.440704, .5R: 0.031496, .75R: 0.000000,  count: 254
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.489785, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.036649, Class: 0.334814, Obj: 0.811425, No Obj: 0.513902, .5R: 0.000000, .75R: 0.000000,  count: 15
Region 106 Avg IOU: 0.187138, Class: 0.480409, Obj: 0.359598, No Obj: 0.444566, .5R: 0.045455, .75R: 0.005682,  count: 176
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.493998, .5R: -nan, .75R: -nan,  count: 0
